Session Date,Player Name,Energy,Sleep Quality,Stress,Soreness,Total Score
2022-09-08,Khalil,7,6,8,8,29
2022-09-09,Khalil,8,8,8,6,30
2022-09-13,Khalil,6,7,7,8,28
2022-09-14,Khalil,8,8,8,8,32
2022-09-16,Khalil,7,6,7,8,28
2022-09-18,Khalil,7,7,8,7,29
2022-09-19,Khalil,7,7,7,8,29
2022-09-21,Khalil,6,6,7,6,25
2022-09-26,Khalil,8,7,9,9,33
2022-09-27,Khalil,8,8,8,7,31
2022-09-28,Khalil,8,7,8,7,30
2022-09-29,Khalil,8,8,8,8,32
2022-09-30,Khalil,8,7,8,8,31
2022-08-29,Bassel,7,7,8,8,30
2022-08-29,Walid,8,8,9,9,34
2022-09-01,Walid,7,8,9,8,32
2022-09-02,Walid,6,6,9,7,28
2022-09-03,Walid,7,8,9,6,30
2022-09-04,Walid,7,6,9,9,31
2022-09-06,Walid,7,7,9,9,32
2022-09-07,Walid,7,7,9,8,31
2022-09-08,Walid,8,9,9,9,35
2022-09-09,Walid,8,8,9,9,34
2022-09-12,Walid,7,8,7,9,31
2022-09-14,Walid,7,7,8,7,29
2022-09-15,Walid,7,6,9,9,31
2022-09-16,Walid,7,8,9,9,33
2022-09-19,Walid,7,7,9,8,31
2022-09-22,Walid,7,7,8,7,29
2022-09-26,Walid,7,6,9,8,30
2022-09-27,Walid,7,9,9,8,33
2022-09-28,Walid,7,9,8,7,31
2022-09-29,Walid,7,7,8,7,29
2022-09-30,Walid,7,8,9,7,31
2022-09-01,Ali,10,10,10,9,39
2022-09-02,Ali,10,10,10,9,39
2022-09-03,Ali,9,9,9,9,36
2022-09-06,Ali,10,10,10,9,39
2022-09-07,Ali,10,10,10,9,39
2022-09-08,Ali,10,10,10,9,39
2022-09-09,Ali,10,10,10,9,39
2022-09-12,Ali,10,10,10,10,40
2022-09-14,Ali,10,10,10,8,38
2022-09-15,Ali,10,10,10,9,39
2022-09-16,Ali,10,10,10,9,39
2022-09-18,Ali,10,10,10,9,39
2022-09-19,Ali,10,10,10,9,39
2022-09-21,Ali,10,10,10,8,38
2022-09-22,Ali,10,10,10,8,38
2022-09-26,Ali,10,10,10,8,38
2022-09-27,Ali,10,10,10,8,38
2022-09-28,Ali,10,10,10,9,39
2022-09-30,Ali,10,10,10,9,39
2022-09-07,Khalid,7,7,7,7,28
2022-09-08,Khalid,7,7,7,7,28
2022-09-09,Khalid,7,8,6,7,28
2022-09-12,Khalid,9,7,8,8,32
2022-09-15,Khalid,8,8,8,8,32
2022-09-16,Khalid,8,7,8,8,31
2022-09-18,Khalid,6,7,7,7,27
2022-09-19,Khalid,7,6,8,7,28
2022-09-21,Khalid,8,7,8,8,31
2022-09-22,Khalid,7,7,8,8,30
2022-09-26,Khalid,8,7,8,8,31
2022-09-27,Khalid,7,7,7,5,26
2022-09-28,Khalid,7,8,8,5,28
2022-09-29,Khalid,7,7,7,6,27
2022-09-30,Khalid,7,8,8,7,30
2022-08-29,Jamal,7,7,4,6,24
2022-09-01,Jamal,9,8,9,7,33
2022-09-02,Jamal,8,7,8,7,30
2022-09-04,Jamal,8,8,8,7,31
2022-09-06,Jamal,7,7,8,8,30
2022-09-07,Jamal,8,8,8,9,33
2022-09-08,Jamal,8,8,8,8,32
2022-09-09,Jamal,8,8,8,8,32
2022-09-13,Jamal,8,8,8,8,32
2022-09-14,Jamal,8,8,8,7,31
2022-09-15,Jamal,8,8,8,8,32
2022-09-16,Jamal,8,9,8,7,32
2022-09-18,Jamal,7,8,7,7,29
2022-09-19,Jamal,8,8,8,8,32
2022-09-21,Jamal,7,8,8,7,30
2022-09-22,Jamal,8,8,8,7,31
2022-09-26,Jamal,9,8,8,9,34
2022-09-27,Jamal,8,8,8,7,31
2022-09-28,Jamal,8,8,8,7,31
2022-09-29,Jamal,8,8,8,7,31
2022-08-29,Anas,8,8,8,7,31
2022-09-01,Anas,9,8,7,8,32
2022-09-02,Anas,8,8,8,8,32
2022-09-03,Anas,8,8,8,8,32
2022-09-04,Anas,9,9,8,9,35
2022-09-06,Anas,8,8,8,7,31
2022-09-07,Anas,8,8,8,8,32
2022-09-08,Anas,7,8,8,6,29
2022-09-09,Anas,8,8,8,8,32
2022-09-12,Anas,10,10,9,9,38
2022-09-13,Anas,9,8,8,8,33
2022-09-14,Anas,7,8,8,7,30
2022-09-15,Anas,8,7,8,8,31
2022-09-16,Anas,8,8,8,7,31
2022-09-18,Anas,8,8,8,7,31
2022-09-29,Rashid,9,9,9,7,34
2022-08-29,Rashid,7,9,8,7,31
2022-09-01,Rashid,8,10,8,7,33
2022-09-02,Rashid,8,9,9,7,33
2022-09-03,Rashid,8,9,8,6,31
2022-09-04,Rashid,8,9,9,8,34
2022-09-06,Rashid,7,8,9,6,30
2022-09-07,Rashid,8,9,9,6,32
2022-09-08,Rashid,8,10,9,7,34
2022-09-09,Rashid,9,8,9,6,32
2022-09-12,Rashid,9,9,10,8,36
2022-09-13,Rashid,8,9,9,8,34
2022-09-14,Rashid,7,7,9,7,30
2022-09-15,Rashid,9,9,9,8,35
2022-09-16,Rashid,9,8,9,8,34
2022-09-18,Rashid,7,7,10,8,32
2022-09-19,Rashid,8,8,9,8,33
2022-09-21,Rashid,6,5,9,7,27
2022-09-22,Rashid,9,9,8,8,34
2022-09-26,Rashid,8,8,9,8,33
2022-09-27,Rashid,9,10,10,8,37
2022-09-28,Rashid,8,7,9,6,30
2022-09-29,Rashid,7,8,9,7,31
2022-09-30,Rashid,8,9,9,7,33
